name,description,train_paraphrase,test_paraphrase
Aromatisse,"A fluffy, humanoid figure with purple upper fur, pink skirt-like lower fur, and wavy yellow-eared appendages. It has a curved beak and red-accented eyes.","A fluffy, humanoid-like creature with a purple upper fur, pink skirt-shaped lower fur and wavy yellow-eared appendages. It has curved beak and red-accented eyes.","fluffy, humanoid in colour, with a purple upper fur and pink skirt-like lower fur, curvy beak and red accented eyes."
Swirlix,"A small round creature covered in cotton candy-like white fur. It has pink-tipped ears, red eyes, a tiny pink nose, and a playful tongue.","A small, circular animal with white fur that resembles cotton candy. It has pink-tipped ears, red eyes, a tiny pink nose, and oodles of playfulness on its tongue.","This is a small, circular animal with white fur that looks like cotton candy. It has pink-tipped ears, red eyes, minuscule pink nose, and playful tongue."
Slurpuff,"A round, dessert-like creature with fluffy pink fur, red collar, and a cherry-like ornament on its head. It has small arms and feet with a joyful appearance.","A spherical, dessert-like animal with a fluffy pink fur, crimson hair on its neck, and crowned cherry eyes. It has small feet and small arms with an adorable smile.","An oval shape, resembling a dessert, has crimson fur on its fluffy coat, red hair on the collar, and hints of cherry on top. It also appears cheerful with small arms and feet."
Inkay,"A small squid-like creature with a translucent mantle showing a pink body with yellow spots. It has round black eyes, tentacles, and a pink beak.","A small squid-like creature with a translucent mantle, pink body with yellow spots, and round black eyes, tentacles, white tips, including curved beaks.","This is small squid like animal, with a translucent mantle and rounded eyes, pink patches on its pink body, and round black eyes and tentacles on top. Its beak is pink."
Malamar,"An upside-down squid-like figure with purple tentacles, bright blue undersides, and a dark pink beak. Its head has fins, yellow eyes, and a striped purple body.","A squid-shaped creature with an upside-down appearance, purple tentacles, bright blue undersides and dark pink beak. It has striped purple body with yellow eyes and fins on its head.","The upside-down squid-like creature has bright blue undersides, purple tentacles and a dark pink beak. Its head has fins with yellow eyes and body is striped purple."
Skrelp,"A brown sea dragon with a hunched back, purple face, red eyes, leaf-like fins, and a tubular snout. Its design mimics driftwood.","The creature is a brown sea dragon with tufts on its back, purple eyes, leaf-like fins, and resembles tubercules in shape.","A brown sea dragon with a curved back, purple eyes, red eyes and leaf-like fins. It also looks like cactus in the shape of driftwood."
Dragalge,"A sea dragon with a body shaped like the number three. It has dull brown scales, leaf-like fins, and a red crest with antennae.","A sea dragon with a body shape that looks like the third of the zodiac. It has rounded bodies, dull brown scales, and red crest with antennae.","The three-headed sea dragon has a body shape that is similar to the number three, with brown scales that lack sharp fins and leaves. It also has an orange fur on its red crest with antennae."
Clauncher,"A bright blue shrimp-like creature with a large yellow-marked claw, small pointed claw, black-striped back, and yellow eyes. Its body is sleek and aquatic.","A bright blue shrimp-like creature with a large yellow-marked claw, drooping pointed claws, black-striped back, and yellow eyes. Its sleek aquatic body.","The creature is a colorful shrimp-like specimen with oversized, yellow-marked claws, minuscule pointed clawles, black-striped back, and yellow eyes. Its body shape is sleek and aquatic."
Helioptile,"A small bipedal lizard with pale yellow body, black feet and head, and a triangular yellow forehead marking. It has blue eyes and frilled ears.","This is small a bipedal lizard with pale yellow body, black feet and head along with triangular yellow forehead which has blue eyes and frilled ears.","Small, bipedal lizard with pale yellow body and triangular yellow marking on forehead and frilled ears."
Heliolisk,"A yellow lizard with a black head, spiky orange frill, and long tail. Blue eyes and black limbs add contrast to its striped, energetic design.","The spiky orange fringe of a yellow lizard is balanced by its black-headed body, blue eyes, and black limbs.","A lively and colorful yellow lizard with a black head, spiky orange frill, and long tail. The bird is bright and colourful, with blue eyes and black limbs to match its vibrant nature."
Tyrunt,"A small dinosaur with a grayish-brown body, large head, orange spikes, white feather-like neck ruff, and short forelimbs. Its powerful legs and tail suggest strength.","A grayish-brown dinosaur with a large head, orange spikes on its body, white feather-like neck ruff, and short forelimbs. Its strong legs and tail indicate strength.","The dinosaur is a small, gray-brown creature with oversized head, orange spikes, white feather-like neck ruff, and short forelimbs. Its strong legs and tail indicate strength."
Tyrantrum,"A large dinosaur with brown-red scaly skin, sharp jaws, white feathery beard, and crown-like head spikes. It has strong limbs and a powerful tail.","The creature is of significant size with scaly brown-red skin, sharp jaws, white feathery beard, and crown-like head spikes. It has strong limbs and a powerful tail.","dinosaur with scaly brown-red skin and sharp jaws, white feathery beard and crown-like head spikes. Strong limbs and strong tail."
Amaura,"A light blue quadrupedal dinosaur with a white underbelly, long neck, and short tail. Above its eyes are sail-like structures fading from yellow to pink.","A quadrupedal dinosaur with a white underbelly, long neck, and short tail. Its sail-like structures above its eyes are gradually fading from yellow to pink.","The dinosaur is a quadrupedal, of light blue colour, with wing length, white underbelly, long neck and tiny tail. Above its eyes the sail-like structures fade from yellow to pink."
Aurorus,"A blue dinosaur-like figure with a long neck, pale sails running from head to back, and small icy crystals along its body. Its form is elegant and glacial.","It is an elegant, glacial specimen with a long neck and pale sails running from head to back. It has small ice crystals on its body.","A graceful and glacial creature with a long neck, pale sails running from head to back, and small ice crystals on its body. It looks like he has discovered the fossilized dinosaur's remains for now."
Sylveon,"A white quadruped with pink feet, ribbon-like feelers, and blue eyes. Its soft fur and graceful posture give it a delicate, charming look.","A delicate and lovely white quadruped with pink feet, ribbon-like feelers, and blue eyes. Its soft fur and graceful posture make it a charming bird.","The quadruped is a white dog with pink feet, ribbon-like feelers, and blue eyes. Its soft fur and graceful build make it incredibly delicate and charming."
